                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0045,                 2.9937,                 4.6018,                  1.615,                0.41416,                   0.25,                0.06624,                0.05651,                0.41416,                   0.25,                0.06624,                0.05693,                0.53105,                 1.2251,                 5.9525,                 1.2166,              2.499e-05,              2.499e-05,              2.499e-05
                      2,                0.90806,                 3.1356,                 4.5723,                 1.4204,                0.38997,                0.48998,                0.25922,                  0.253,                0.38997,                0.48998,                0.25922,                0.23745,                0.39826,                0.78421,                 6.0428,                 1.0955,             5.6386e-05,             5.6386e-05,             5.6386e-05
                      3,                 0.6522,                  2.256,                 4.1115,                 1.3337,                0.82523,                  0.375,                0.52238,                0.52237,                0.82523,                  0.375,                0.52238,                0.52237,                0.28601,                0.59647,                 6.5537,                0.97822,             8.5582e-05,             8.5582e-05,             8.5582e-05
                      4,                0.42702,                  1.032,                 3.0322,                 1.1009,                0.82523,                  0.375,                0.52238,                0.52237,                0.82523,                  0.375,                0.52238,                0.52237,                0.28601,                0.59647,                 6.5537,                0.97822,             0.00011258,             0.00011258,             0.00011258
                      5,                0.48959,                0.95032,                 3.1553,                 1.1252,                0.78334,                    0.5,                0.44568,                0.44153,                0.78334,                    0.5,                0.44568,                0.44568,                0.25149,                0.51642,                 10.496,                0.92878,             0.00013738,             0.00013738,             0.00013738
                      6,                0.44737,                0.95369,                 3.2261,                 1.0484,                0.78334,                    0.5,                0.44568,                0.44153,                0.78334,                    0.5,                0.44568,                0.44568,                0.25149,                0.51642,                 10.496,                0.92878,             0.00015998,             0.00015998,             0.00015998
                      7,                0.39339,                 1.1294,                 3.0421,                  1.025,                0.76647,                  0.375,                0.62187,                0.60944,                0.76647,                  0.375,                0.62187,                0.60944,                0.27393,                0.50518,                 16.409,                0.92303,             0.00018038,             0.00018038,             0.00018038
                      8,                0.37366,                0.74336,                 3.3394,                   1.01,                0.76647,                  0.375,                0.62187,                0.60944,                0.76647,                  0.375,                0.62187,                0.60944,                0.27393,                0.50518,                 16.409,                0.92303,             0.00019858,             0.00019858,             0.00019858
                      9,                0.50883,                0.84096,                 2.8952,                 1.0723,                0.76647,                  0.375,                0.62187,                0.60944,                0.76647,                  0.375,                0.62187,                0.60944,                0.27393,                0.50518,                 16.409,                0.92303,             0.00021458,             0.00021458,             0.00021458
                     10,                0.49374,                 0.9318,                 2.8948,                 1.0674,                0.59108,                0.47804,                0.34203,                0.31819,                0.59108,                0.47804,                0.34203,                0.32959,                0.46264,                0.59207,                 18.728,                 1.0762,             0.00022838,             0.00022838,             0.00022838
                     11,                0.78478,                 1.3402,                 4.2797,                  1.252,                0.59108,                0.47804,                0.34203,                0.31819,                0.59108,                0.47804,                0.34203,                0.32959,                0.46264,                0.59207,                 18.728,                 1.0762,             0.00023999,             0.00023999,             0.00023999
                     12,                0.64899,                 1.0881,                 3.3542,                 1.1325,                0.59108,                0.47804,                0.34203,                0.31819,                0.59108,                0.47804,                0.34203,                0.32959,                0.46264,                0.59207,                 18.728,                 1.0762,             0.00024939,             0.00024939,             0.00024939
                     13,                0.59575,                0.83832,                 3.4349,                  1.088,                0.59108,                0.47804,                0.34203,                0.31819,                0.59108,                0.47804,                0.34203,                0.32959,                0.46264,                0.59207,                 18.728,                 1.0762,              0.0002566,              0.0002566,              0.0002566
